Error_Rate (%),Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
4.83,02-01-2024 00:43,02-01-2024 00:43,10.46,1552,3779,8.27,143,Social Media,2747,150.95,Low,Priority-Based,Dynamic
2.74,02-01-2024 00:44,02-01-2024 00:44,35.97,7286,1396,4.83,874,Enterprise DB,2424,136.33,High,Priority-Based,Static
1.28,02-01-2024 00:45,02-01-2024 00:45,39.32,5069,4096,8.1,933,Social Media,914,959.45,High,FCFS,Static
4.38,02-01-2024 00:46,02-01-2024 00:46,41.69,3244,4886,6.65,699,Cloud,2626,382.79,Low,FCFS,Static
4.94,02-01-2024 00:47,02-01-2024 00:47,65.64,6896,1255,0.53,687,Enterprise DB,3965,531.82,High,ASB-Dynamic-CapsNet,Dynamic
3.71,02-01-2024 00:48,02-01-2024 00:48,41.08,4369,4979,2.91,935,Social Media,2976,736.48,Low,ASB-Dynamic-CapsNet,Static
1.67,02-01-2024 00:49,02-01-2024 00:49,45.9,5500,2466,5.19,500,IoT,4479,56.97,Low,ASB-Dynamic-CapsNet,Static
1.18,02-01-2024 00:50,02-01-2024 00:50,29,6541,2991,6.38,858,Enterprise DB,2447,248.61,Low,Round Robin,Dynamic
0.78,02-01-2024 00:51,02-01-2024 00:51,39.86,4981,2072,1.12,850,Enterprise DB,2271,833.83,High,ASB-Dynamic-CapsNet,Dynamic
1.17,02-01-2024 00:52,02-01-2024 00:52,28.18,4657,884,7.2,997,Cloud,1832,863.37,Low,Round Robin,Dynamic
1.14,02-01-2024 00:53,02-01-2024 00:53,15.86,5110,4592,5.66,447,Cloud,4048,379.22,High,FCFS,Dynamic
4.84,02-01-2024 00:54,02-01-2024 00:54,58.28,5025,1181,5.49,848,IoT,2853,381.11,Medium,ASB-Dynamic-CapsNet,Static
3.22,02-01-2024 00:55,02-01-2024 00:55,63.46,5175,2133,3.27,55,Social Media,4217,759.33,Medium,FCFS,Static
0.83,02-01-2024 00:56,02-01-2024 00:56,59.56,2060,1714,6.15,677,Social Media,4597,302.12,Medium,ASB-Dynamic-CapsNet,Static
2.44,02-01-2024 00:57,02-01-2024 00:57,47.08,4262,4655,0.76,410,Enterprise DB,3008,125.92,Low,FCFS,Dynamic
0.92,02-01-2024 00:58,02-01-2024 00:58,40.38,1664,2516,1.11,497,Enterprise DB,1828,264.96,High,ASB-Dynamic-CapsNet,Dynamic
3.03,02-01-2024 00:59,02-01-2024 00:59,79.07,7386,4741,7.47,441,Social Media,875,393.47,Low,Round Robin,Dynamic
1.71,02-01-2024 01:00,02-01-2024 01:00,51.53,5919,3753,3.56,437,Social Media,3711,61.68,High,Priority-Based,Dynamic
0.98,02-01-2024 01:01,02-01-2024 01:01,48.33,3222,596,3.8,757,Social Media,3419,483.89,Medium,FCFS,Static
1.21,02-01-2024 01:02,02-01-2024 01:02,12.05,2858,604,2.48,837,Enterprise DB,3145,742.61,Medium,FCFS,Static
3.38,02-01-2024 01:03,02-01-2024 01:03,37.3,970,3486,4.73,581,Cloud,2207,518.61,Medium,Priority-Based,Dynamic
2.04,02-01-2024 01:04,02-01-2024 01:04,40.42,1916,2308,0.99,526,Cloud,101,81.18,Low,ASB-Dynamic-CapsNet,Static
2.57,02-01-2024 01:05,02-01-2024 01:05,41.91,6261,4913,3.35,974,IoT,3411,445.75,Low,Round Robin,Static
4.11,02-01-2024 01:06,02-01-2024 01:06,56.41,1968,3316,5.51,471,Social Media,3565,711.82,High,Round Robin,Dynamic
3.28,02-01-2024 01:07,02-01-2024 01:07,52.69,1308,3766,4.92,975,Social Media,4612,67.52,High,Round Robin,Static
2.31,02-01-2024 01:08,02-01-2024 01:08,58.63,671,1508,10,912,Social Media,3380,69.25,Medium,ASB-Dynamic-CapsNet,Static
4.77,02-01-2024 01:09,02-01-2024 01:09,71.19,7219,4464,4.19,190,IoT,1724,376.9,Low,FCFS,Static
1.07,02-01-2024 01:10,02-01-2024 01:10,75.04,4626,4177,4.18,154,Social Media,2915,203.01,Low,ASB-Dynamic-CapsNet,Dynamic
1.44,02-01-2024 01:11,02-01-2024 01:11,67.45,4642,1577,5.28,836,Cloud,1411,935.43,High,Round Robin,Dynamic
4.56,02-01-2024 01:12,02-01-2024 01:12,86.44,4725,2497,2.31,274,Social Media,836,585.53,High,Priority-Based,Dynamic
4.27,02-01-2024 01:13,02-01-2024 01:13,11.46,2899,209,8.82,744,IoT,605,294.45,Low,Round Robin,Dynamic
0.65,02-01-2024 01:14,02-01-2024 01:14,25.66,5573,3654,5.94,415,Enterprise DB,2089,707.73,Low,FCFS,Static
4.65,02-01-2024 01:15,02-01-2024 01:15,10.61,2145,749,2.33,822,Enterprise DB,1812,381.18,High,ASB-Dynamic-CapsNet,Dynamic
0.05,02-01-2024 01:16,02-01-2024 01:16,61.8,6200,1599,8.04,978,Cloud,2162,140.79,Low,ASB-Dynamic-CapsNet,Static
4.11,02-01-2024 01:17,02-01-2024 01:17,81.84,557,695,0.83,964,Cloud,2260,244.86,Low,Round Robin,Static
1.39,02-01-2024 01:18,02-01-2024 01:18,29.48,1629,1078,9.83,857,Cloud,1751,646.32,Medium,FCFS,Dynamic
0.94,02-01-2024 01:19,02-01-2024 01:19,84.16,7455,830,8.72,493,Enterprise DB,2136,61.36,Low,FCFS,Dynamic
2.24,02-01-2024 01:20,02-01-2024 01:20,14.82,1853,156,6.01,491,Social Media,2762,279.96,Low,Priority-Based,Dynamic
4.49,02-01-2024 01:21,02-01-2024 01:21,84.75,1267,2343,1.56,246,IoT,2457,216.23,Low,Round Robin,Dynamic
3.93,02-01-2024 01:22,02-01-2024 01:22,38.13,4395,1801,2.55,534,IoT,2366,209.12,High,Priority-Based,Static
4.84,02-01-2024 01:23,02-01-2024 01:23,18.11,1182,1386,3.15,348,Social Media,1660,685.93,Medium,ASB-Dynamic-CapsNet,Static
2.7,02-01-2024 01:24,02-01-2024 01:24,48.87,3954,211,2.79,277,Enterprise DB,4402,827.56,High,ASB-Dynamic-CapsNet,Static
2.55,02-01-2024 01:25,02-01-2024 01:25,30.54,2508,4906,5.23,941,Enterprise DB,4755,718.71,Medium,FCFS,Dynamic
0.07,02-01-2024 01:26,02-01-2024 01:26,32.79,7829,1301,9.47,275,IoT,1177,649.27,Medium,Priority-Based,Dynamic
0.9,02-01-2024 01:27,02-01-2024 01:27,34.58,7640,1047,4.72,537,Cloud,954,917.29,Low,FCFS,Dynamic
2.49,02-01-2024 01:28,02-01-2024 01:28,74.24,6929,4221,6.78,101,Cloud,213,67.81,Medium,Round Robin,Dynamic
3.76,02-01-2024 01:29,02-01-2024 01:29,53.13,3642,857,7.04,257,IoT,1186,175.81,Medium,FCFS,Static
4.11,02-01-2024 01:30,02-01-2024 01:30,34.9,2290,3488,8.78,28,IoT,4760,420.26,Low,ASB-Dynamic-CapsNet,Dynamic
1.42,02-01-2024 01:31,02-01-2024 01:31,58.83,1977,1941,0.82,881,Social Media,2075,378.73,Low,ASB-Dynamic-CapsNet,Static
3.56,02-01-2024 01:32,02-01-2024 01:32,67.29,1385,3635,4.34,399,Social Media,155,423.87,Medium,FCFS,Static
4.14,02-01-2024 01:33,02-01-2024 01:33,31.81,4406,2393,7.95,397,Social Media,4844,214.39,High,Round Robin,Static
1.87,02-01-2024 01:34,02-01-2024 01:34,43.08,4992,1204,8.24,935,Social Media,4509,158.01,Medium,Priority-Based,Dynamic
3.48,02-01-2024 01:35,02-01-2024 01:35,19.75,2038,761,9.31,624,Social Media,3142,514.1,High,ASB-Dynamic-CapsNet,Dynamic
2.19,02-01-2024 01:36,02-01-2024 01:36,24.49,2573,1008,7.18,104,Social Media,2071,928.77,High,ASB-Dynamic-CapsNet,Static
4.93,02-01-2024 01:37,02-01-2024 01:37,64.49,812,4717,2.83,439,Cloud,1202,398.05,Medium,Round Robin,Dynamic
0.03,02-01-2024 01:38,02-01-2024 01:38,24.52,6769,1956,5.3,804,IoT,748,52.92,High,FCFS,Dynamic
2.07,02-01-2024 01:39,02-01-2024 01:39,52.01,6184,2411,0.81,950,Enterprise DB,3917,709.11,Medium,ASB-Dynamic-CapsNet,Dynamic
1.32,02-01-2024 01:40,02-01-2024 01:40,66.72,5817,889,6.65,734,Social Media,3320,298.19,High,ASB-Dynamic-CapsNet,Static
4.25,02-01-2024 01:41,02-01-2024 01:41,18.55,1310,271,5.77,46,Cloud,796,252.64,High,Round Robin,Static
1.44,02-01-2024 01:42,02-01-2024 01:42,55.38,2735,4460,6.83,402,IoT,1010,331.02,Medium,FCFS,Static
2.72,02-01-2024 01:43,02-01-2024 01:43,30.53,7341,2086,9.34,582,IoT,3541,726.58,Low,Round Robin,Static
3.7,02-01-2024 01:44,02-01-2024 01:44,87.03,3357,1985,7.03,300,IoT,3347,820.63,Low,Round Robin,Static
2.49,02-01-2024 01:45,02-01-2024 01:45,48.68,3263,575,3.54,883,Social Media,3027,592.18,Medium,FCFS,Dynamic
2.05,02-01-2024 01:46,02-01-2024 01:46,74.48,2532,1149,2.39,312,Social Media,258,329.25,Medium,ASB-Dynamic-CapsNet,Dynamic
0.21,02-01-2024 01:47,02-01-2024 01:47,54.02,2007,4229,8.62,765,Enterprise DB,3366,317.37,Low,Priority-Based,Static
0.11,02-01-2024 01:48,02-01-2024 01:48,13.47,5045,2411,2.35,926,Social Media,1941,133.07,Low,Priority-Based,Static
4.79,02-01-2024 01:49,02-01-2024 01:49,60.65,3070,1261,2.04,410,IoT,1226,933.97,High,Priority-Based,Static
3.22,02-01-2024 01:50,02-01-2024 01:50,86.11,2394,915,2.46,832,IoT,3556,641.76,High,Round Robin,Static
4.13,02-01-2024 01:51,02-01-2024 01:51,58.13,5973,3866,5.33,353,Cloud,2089,36.7,High,ASB-Dynamic-CapsNet,Dynamic
2.4,02-01-2024 01:52,02-01-2024 01:52,75.54,7629,3022,1.68,872,Cloud,3339,665.74,Low,ASB-Dynamic-CapsNet,Static
1.31,02-01-2024 01:53,02-01-2024 01:53,80.74,3205,853,9.41,527,Enterprise DB,1502,452.68,Medium,ASB-Dynamic-CapsNet,Dynamic
1.47,02-01-2024 01:54,02-01-2024 01:54,28.25,1096,4761,9.68,386,Cloud,4811,972.83,High,ASB-Dynamic-CapsNet,Static
0.22,02-01-2024 01:55,02-01-2024 01:55,26.96,2647,561,9.75,940,Enterprise DB,3910,820.88,Medium,Round Robin,Dynamic
3.95,02-01-2024 01:56,02-01-2024 01:56,58.88,1115,3339,0.87,827,Cloud,1667,179.6,Low,Priority-Based,Dynamic
2.91,02-01-2024 01:57,02-01-2024 01:57,42.88,1447,2802,9.49,174,IoT,484,722.91,High,Priority-Based,Dynamic
2.4,02-01-2024 01:58,02-01-2024 01:58,77.19,6177,180,9.98,22,Social Media,2377,490.71,Low,FCFS,Static
4.26,02-01-2024 01:59,02-01-2024 01:59,82,5151,2904,9.45,34,Social Media,1696,195.17,Medium,ASB-Dynamic-CapsNet,Static
2.22,02-01-2024 02:00,02-01-2024 02:00,38.27,4873,969,6.87,745,Enterprise DB,3213,701.75,High,Priority-Based,Static
4.74,02-01-2024 02:01,02-01-2024 02:01,28.95,4264,4794,7.16,132,Social Media,4812,551.91,Medium,Priority-Based,Static
0.07,02-01-2024 02:02,02-01-2024 02:02,72.44,2513,906,1.66,138,Social Media,1490,40.07,Medium,ASB-Dynamic-CapsNet,Dynamic
4.92,02-01-2024 02:03,02-01-2024 02:03,31.98,4197,2034,8.81,826,Cloud,4493,650.12,High,ASB-Dynamic-CapsNet,Static
4.08,02-01-2024 02:04,02-01-2024 02:04,75.81,990,803,1.07,643,IoT,4910,638.64,High,Priority-Based,Static
1.77,02-01-2024 02:05,02-01-2024 02:05,43.9,4850,2623,3.52,556,Social Media,983,152.64,Low,FCFS,Static
2.98,02-01-2024 02:06,02-01-2024 02:06,63.4,2928,2739,9.92,604,IoT,4328,355.5,High,ASB-Dynamic-CapsNet,Static
4.32,02-01-2024 02:07,02-01-2024 02:07,17.64,5487,4682,4.51,318,Cloud,2605,590.04,High,Priority-Based,Static
2.41,02-01-2024 02:08,02-01-2024 02:08,59.91,1041,4009,1.75,445,Cloud,1196,147.4,High,FCFS,Dynamic
0.26,02-01-2024 02:09,02-01-2024 02:09,46.14,1787,4901,9.71,191,Social Media,4046,854.2,High,Round Robin,Dynamic
4.52,02-01-2024 02:10,02-01-2024 02:10,56.93,2133,1264,9.85,597,Social Media,430,37.21,High,FCFS,Dynamic
2.59,02-01-2024 02:11,02-01-2024 02:11,23.44,5420,719,2.28,625,Cloud,874,111.81,Low,ASB-Dynamic-CapsNet,Static
2.73,02-01-2024 02:12,02-01-2024 02:12,68.95,3426,3166,8.72,753,Cloud,1588,124.95,Medium,Round Robin,Static
0.07,02-01-2024 02:13,02-01-2024 02:13,79.02,1852,4972,4.21,824,Enterprise DB,3425,532.83,Low,FCFS,Dynamic
0.5,02-01-2024 02:14,02-01-2024 02:14,27.34,7782,546,4.12,52,Enterprise DB,1687,623.91,Medium,Priority-Based,Static
3.89,02-01-2024 02:15,02-01-2024 02:15,17.66,7943,2437,3,413,IoT,4337,409.7,High,ASB-Dynamic-CapsNet,Dynamic
2.17,02-01-2024 02:16,02-01-2024 02:16,11.89,4876,308,0.92,938,Cloud,574,295.78,Low,Round Robin,Dynamic
4.99,02-01-2024 02:17,02-01-2024 02:17,61.36,1798,2560,3.05,614,IoT,3157,811.22,Medium,Priority-Based,Dynamic
3.48,02-01-2024 02:18,02-01-2024 02:18,58.57,5368,3542,1.01,665,Cloud,1143,77.6,Medium,Round Robin,Dynamic
4.75,02-01-2024 02:19,02-01-2024 02:19,53.74,7486,2811,9.28,775,IoT,154,287.49,High,FCFS,Dynamic
1.4,02-01-2024 02:20,02-01-2024 02:20,28.56,7362,2437,6.79,599,Enterprise DB,1789,48.72,High,Priority-Based,Static
0.88,02-01-2024 02:21,02-01-2024 02:21,41.27,4467,1391,8.92,272,Cloud,2410,23.75,Medium,ASB-Dynamic-CapsNet,Static
1.88,02-01-2024 02:22,02-01-2024 02:22,57.56,4923,2298,7.31,79,Cloud,3176,359.85,Low,Priority-Based,Static
1.32,02-01-2024 02:23,02-01-2024 02:23,49.74,2758,1500,1.75,670,IoT,1726,202.88,Medium,FCFS,Static
3.07,02-01-2024 02:24,02-01-2024 02:24,89.02,7370,2755,9.44,301,IoT,2404,275.68,Low,Round Robin,Dynamic
3.72,02-01-2024 02:25,02-01-2024 02:25,20.92,5518,4112,9.05,223,Social Media,4966,822.74,Low,Priority-Based,Dynamic
2.01,02-01-2024 02:26,02-01-2024 02:26,65.61,5147,804,3.81,881,Social Media,4181,171.35,Medium,Round Robin,Dynamic
0.45,02-01-2024 02:27,02-01-2024 02:27,42.35,2573,925,1.56,831,Enterprise DB,2984,782.43,Low,ASB-Dynamic-CapsNet,Dynamic
0.13,02-01-2024 02:28,02-01-2024 02:28,44.26,6670,1104,7.19,156,Cloud,1922,678.3,Medium,Priority-Based,Static
1.09,02-01-2024 02:29,02-01-2024 02:29,67.41,1201,3560,7.42,34,Cloud,1092,333.18,Medium,Round Robin,Dynamic
3.66,02-01-2024 02:30,02-01-2024 02:30,65.39,7750,476,9.02,332,IoT,3484,551.09,High,ASB-Dynamic-CapsNet,Dynamic
1.11,02-01-2024 02:31,02-01-2024 02:31,89.3,2419,1072,1,118,Enterprise DB,1491,449.99,Medium,FCFS,Dynamic
4.55,02-01-2024 02:32,02-01-2024 02:32,20.27,7325,4313,1.85,702,Cloud,1895,137.11,Medium,Priority-Based,Static
3.26,02-01-2024 02:33,02-01-2024 02:33,18.33,2960,3176,6.18,260,Enterprise DB,3551,908.11,High,Priority-Based,Dynamic
4.31,02-01-2024 02:34,02-01-2024 02:34,67.95,4762,543,6.38,491,Social Media,1591,573.92,High,Priority-Based,Dynamic
1.93,02-01-2024 02:35,02-01-2024 02:35,56.27,4764,854,0.82,724,IoT,516,881.44,Low,Round Robin,Dynamic
4.92,02-01-2024 02:36,02-01-2024 02:36,31.93,4824,3704,4.27,825,Cloud,2994,825.59,Low,Round Robin,Static
3.4,02-01-2024 02:37,02-01-2024 02:37,16.35,6598,4835,6.05,691,IoT,4344,88.98,High,ASB-Dynamic-CapsNet,Static
1.78,02-01-2024 02:38,02-01-2024 02:38,16.85,866,2271,7.51,184,Social Media,1641,215.2,High,Priority-Based,Dynamic
1.06,02-01-2024 02:39,02-01-2024 02:39,81.54,1027,2805,3.5,356,Enterprise DB,2865,153.81,High,ASB-Dynamic-CapsNet,Static
4.33,02-01-2024 02:40,02-01-2024 02:40,25.35,5386,3565,5.1,179,Enterprise DB,4122,832.47,Medium,Priority-Based,Static
1.59,02-01-2024 02:41,02-01-2024 02:41,35.87,4218,2811,8.23,11,Social Media,3622,863.82,Medium,FCFS,Dynamic
0.22,02-01-2024 02:42,02-01-2024 02:42,28.13,4109,2507,9.56,655,Social Media,4386,532.69,Medium,Priority-Based,Static
1.39,02-01-2024 02:43,02-01-2024 02:43,38.4,4435,722,2.69,648,Cloud,1243,113.14,High,ASB-Dynamic-CapsNet,Static
0.9,02-01-2024 02:44,02-01-2024 02:44,15.55,5119,1823,2.9,567,Cloud,343,144.26,Low,Round Robin,Dynamic
1.6,02-01-2024 02:45,02-01-2024 02:45,51.52,5691,3422,9.43,715,Cloud,971,815.41,Low,FCFS,Dynamic
3.07,02-01-2024 02:46,02-01-2024 02:46,15.41,6264,2019,4.26,371,Cloud,1388,929.9,Medium,FCFS,Static
2.5,02-01-2024 02:47,02-01-2024 02:47,74.03,2653,1018,7.32,730,Cloud,3248,207.48,Medium,Priority-Based,Dynamic
3.55,02-01-2024 02:48,02-01-2024 02:48,28.7,7375,4315,6.32,305,Enterprise DB,4613,21.03,High,FCFS,Static
1.67,02-01-2024 02:49,02-01-2024 02:49,53.2,2408,681,3.21,579,Cloud,2464,337.64,High,ASB-Dynamic-CapsNet,Dynamic
0.6,02-01-2024 02:50,02-01-2024 02:50,80.41,3512,3981,6.71,599,Social Media,4903,40.19,Low,ASB-Dynamic-CapsNet,Static
0.8,02-01-2024 02:51,02-01-2024 02:51,62.07,5901,1786,6.73,211,Social Media,3525,829.7,Low,Priority-Based,Dynamic
3.99,02-01-2024 02:52,02-01-2024 02:52,52.64,4728,4009,6.13,298,Cloud,1591,496.6,High,Round Robin,Static
0.49,02-01-2024 02:53,02-01-2024 02:53,35.95,7177,2099,1.45,71,Social Media,2548,645.44,Low,FCFS,Static
3.99,02-01-2024 02:54,02-01-2024 02:54,36.64,3522,2811,9.95,511,IoT,957,417.37,Low,FCFS,Static
1.06,02-01-2024 02:55,02-01-2024 02:55,63.56,6912,500,4.3,789,Enterprise DB,2543,352.05,Medium,Priority-Based,Static
3.39,02-01-2024 02:56,02-01-2024 02:56,89.53,3983,3748,6.56,135,Enterprise DB,2177,229.98,High,FCFS,Static
3.12,02-01-2024 02:57,02-01-2024 02:57,62.95,3220,2728,8.91,58,Cloud,3138,772.83,High,Round Robin,Static
0.49,02-01-2024 02:58,02-01-2024 02:58,54.62,6238,1756,4.52,609,IoT,4697,698.59,High,Priority-Based,Static
3.33,02-01-2024 02:59,02-01-2024 02:59,68.45,7434,720,7.85,855,Cloud,4040,367.12,Medium,ASB-Dynamic-CapsNet,Static
2.24,02-01-2024 03:00,02-01-2024 03:00,47.22,6484,346,9.73,782,Cloud,3801,327.9,High,FCFS,Dynamic
3.54,02-01-2024 03:01,02-01-2024 03:01,14.81,2270,3439,3.91,188,Social Media,2147,11.23,Low,Priority-Based,Static
4.18,02-01-2024 03:02,02-01-2024 03:02,54.98,4613,3110,4.35,590,Enterprise DB,3224,72.92,Medium,ASB-Dynamic-CapsNet,Dynamic
0.2,02-01-2024 03:03,02-01-2024 03:03,86.61,2277,4819,9.1,888,IoT,437,627.02,Medium,ASB-Dynamic-CapsNet,Dynamic
3.24,02-01-2024 03:04,02-01-2024 03:04,24.02,4712,2468,2.02,937,Social Media,348,519.46,High,ASB-Dynamic-CapsNet,Static
0.52,02-01-2024 03:05,02-01-2024 03:05,65.2,1297,4094,0.77,502,Enterprise DB,4484,440.46,Low,Priority-Based,Dynamic
1.89,02-01-2024 03:06,02-01-2024 03:06,26.07,3715,1939,9.13,442,Enterprise DB,3510,829.23,High,Priority-Based,Dynamic
0.06,02-01-2024 03:07,02-01-2024 03:07,52.87,4288,3003,8.31,581,Cloud,4111,508.86,Low,ASB-Dynamic-CapsNet,Dynamic
1.64,02-01-2024 03:08,02-01-2024 03:08,17.73,7194,4495,9.74,311,IoT,523,390.65,High,ASB-Dynamic-CapsNet,Dynamic
0.85,02-01-2024 03:09,02-01-2024 03:09,46.03,3476,4598,1.05,973,Cloud,4761,169.64,Low,Priority-Based,Dynamic
2.78,02-01-2024 03:10,02-01-2024 03:10,70.49,4237,3791,1.98,770,Social Media,4937,822.48,Low,Priority-Based,Dynamic
2.56,02-01-2024 03:11,02-01-2024 03:11,37.81,2211,3941,1.5,999,Cloud,3263,580.49,Low,Round Robin,Static
3.97,02-01-2024 03:12,02-01-2024 03:12,63.19,1252,4448,6.99,178,Cloud,4158,101.54,Medium,ASB-Dynamic-CapsNet,Static
3.2,02-01-2024 03:13,02-01-2024 03:13,73.64,2969,1492,6.26,986,Enterprise DB,498,652.41,High,FCFS,Dynamic
3.57,02-01-2024 03:14,02-01-2024 03:14,84.17,4469,3850,3.91,972,Enterprise DB,2271,430.82,High,FCFS,Static
0.46,02-01-2024 03:15,02-01-2024 03:15,28.77,1892,4355,1.05,278,Social Media,2032,813.27,High,Priority-Based,Dynamic
0.14,02-01-2024 03:16,02-01-2024 03:16,41.95,7289,3108,6.58,373,Enterprise DB,3661,919.73,Medium,FCFS,Dynamic
4.85,02-01-2024 03:17,02-01-2024 03:17,22.19,3105,4400,5.92,633,Enterprise DB,2692,604.46,Low,Priority-Based,Dynamic
2.14,02-01-2024 03:18,02-01-2024 03:18,89.4,6693,3438,1.57,109,Enterprise DB,1970,734.3,Medium,Round Robin,Static
1.97,02-01-2024 03:19,02-01-2024 03:19,84.16,1177,3614,9.13,923,Cloud,2366,66.02,Medium,Priority-Based,Static
0.18,02-01-2024 03:20,02-01-2024 03:20,53.2,605,859,2.39,224,IoT,1324,564.65,Low,ASB-Dynamic-CapsNet,Static
0.59,02-01-2024 03:21,02-01-2024 03:21,77.36,3787,2868,7.56,634,Social Media,4918,757.79,High,Priority-Based,Dynamic
4.7,02-01-2024 03:22,02-01-2024 03:22,51.68,5253,3188,8.91,106,Cloud,1665,501.79,Medium,FCFS,Static
3.47,02-01-2024 03:23,02-01-2024 03:23,59.89,2446,2215,6.01,828,Social Media,3668,597.61,Low,FCFS,Static
2.05,02-01-2024 03:24,02-01-2024 03:24,17.13,6044,4328,2.85,639,Cloud,2356,899.96,Low,FCFS,Dynamic
4.52,02-01-2024 03:25,02-01-2024 03:25,70.42,1595,1823,3.44,557,Social Media,309,206.12,High,ASB-Dynamic-CapsNet,Static
2.95,02-01-2024 03:26,02-01-2024 03:26,20.22,5583,3066,8.91,346,Enterprise DB,3256,107.26,Low,Priority-Based,Static
3.73,02-01-2024 03:27,02-01-2024 03:27,76.09,7485,529,3.33,368,Social Media,1562,693.74,Low,Priority-Based,Static
2.16,02-01-2024 03:28,02-01-2024 03:28,72.56,6404,2455,7.59,299,IoT,4788,824.62,Low,FCFS,Static
2.16,02-01-2024 03:29,02-01-2024 03:29,66.7,2282,2559,9.91,405,Social Media,2178,851.99,High,ASB-Dynamic-CapsNet,Dynamic
0.34,02-01-2024 03:30,02-01-2024 03:30,12.89,5041,4292,10,910,IoT,3488,645.23,High,FCFS,Dynamic
3.67,02-01-2024 03:31,02-01-2024 03:31,34.25,6544,1818,5.57,825,Social Media,2226,834.88,Low,FCFS,Dynamic
0.5,02-01-2024 03:32,02-01-2024 03:32,31.05,3757,1365,8.35,369,Enterprise DB,4557,703.66,Low,ASB-Dynamic-CapsNet,Dynamic
3.82,02-01-2024 03:33,02-01-2024 03:33,38.81,6713,1408,9.91,356,Social Media,3558,96.5,High,FCFS,Dynamic
0.95,02-01-2024 03:34,02-01-2024 03:34,17.01,2497,1150,4.06,133,Cloud,4760,764.42,High,Round Robin,Dynamic
1.24,02-01-2024 03:35,02-01-2024 03:35,84.96,6793,3573,2.9,561,Enterprise DB,3130,187.57,High,ASB-Dynamic-CapsNet,Static
4.59,02-01-2024 03:36,02-01-2024 03:36,54.3,7913,2349,1.59,662,Enterprise DB,281,244.24,Medium,FCFS,Dynamic
2.36,02-01-2024 03:37,02-01-2024 03:37,34.44,5369,2909,1.84,547,Cloud,779,400.7,High,Priority-Based,Dynamic
0.63,02-01-2024 03:38,02-01-2024 03:38,41.76,2061,3021,8.61,663,Enterprise DB,3062,321.42,Low,Round Robin,Static
4.53,02-01-2024 03:39,02-01-2024 03:39,45.78,4506,4776,6.09,873,Enterprise DB,2979,328.44,High,Priority-Based,Static
2.26,02-01-2024 03:40,02-01-2024 03:40,58.05,2175,4141,8.8,916,Cloud,367,177.57,Low,Priority-Based,Dynamic
0.65,02-01-2024 03:41,02-01-2024 03:41,51.25,1622,2517,8,431,Enterprise DB,1580,300.93,Low,Round Robin,Static
1.95,02-01-2024 03:42,02-01-2024 03:42,83.55,4481,632,6.9,345,Enterprise DB,1160,29.47,Low,ASB-Dynamic-CapsNet,Static
2.95,02-01-2024 03:43,02-01-2024 03:43,49.76,1801,998,6.29,512,Enterprise DB,765,478.18,High,FCFS,Dynamic
1.81,02-01-2024 03:44,02-01-2024 03:44,89.37,6182,2754,0.96,66,Enterprise DB,1391,770.91,High,Priority-Based,Static
4.62,02-01-2024 03:45,02-01-2024 03:45,78.11,6282,1569,8.79,671,Social Media,3454,863.62,High,Priority-Based,Static
1.35,02-01-2024 03:46,02-01-2024 03:46,26.68,1443,3020,4.47,888,Enterprise DB,3362,822.22,High,Priority-Based,Dynamic
0.88,02-01-2024 03:47,02-01-2024 03:47,84.45,5050,1352,5.82,921,Enterprise DB,3170,422.29,High,ASB-Dynamic-CapsNet,Dynamic
1.1,02-01-2024 03:48,02-01-2024 03:48,19.31,5723,869,0.71,726,Enterprise DB,3137,733.12,Medium,Priority-Based,Static
0.42,02-01-2024 03:49,02-01-2024 03:49,75.4,1445,933,9.39,85,Social Media,251,295.01,High,Priority-Based,Static
2.26,02-01-2024 03:50,02-01-2024 03:50,40.45,1100,2309,9.08,475,IoT,2190,65.01,Medium,Priority-Based,Dynamic
4.39,02-01-2024 03:51,02-01-2024 03:51,80.24,3200,4749,5.66,294,Enterprise DB,1722,679.21,Low,Round Robin,Dynamic
1.53,02-01-2024 03:52,02-01-2024 03:52,79.44,5320,3524,5.98,731,IoT,1106,652.31,Low,Round Robin,Static
1.29,02-01-2024 03:53,02-01-2024 03:53,74.47,6876,1191,7.2,395,IoT,3721,803.61,Low,Priority-Based,Static
4.19,02-01-2024 03:54,02-01-2024 03:54,73.2,1917,1296,3.01,959,Cloud,468,619.95,Low,ASB-Dynamic-CapsNet,Dynamic
1.53,02-01-2024 03:55,02-01-2024 03:55,34.37,2024,4014,2.61,779,Cloud,2648,165.32,Medium,ASB-Dynamic-CapsNet,Dynamic
2.38,02-01-2024 03:56,02-01-2024 03:56,16.47,4266,1760,6.9,268,IoT,675,854.63,Medium,FCFS,Dynamic
0.16,02-01-2024 03:57,02-01-2024 03:57,42.24,750,4754,1.49,486,Social Media,4990,630.98,Low,Round Robin,Static
1.44,02-01-2024 03:58,02-01-2024 03:58,23.88,2044,360,4.81,705,Enterprise DB,3880,809.53,High,ASB-Dynamic-CapsNet,Dynamic
